miARN,Importancia
hsa-miR-185-5p,0.18085404
hsa-miR-378g,0.11637756
hsa-let-7b-5p,0.082996584
hsa-miR-148a-3p,0.0597966
hsa-miR-629-5p,0.040757697
hsa-miR-382-5p,0.017402107
hsa-miR-151a-5p,0.0146890655
hsa-miR-30c-5p,0.013117112
hsa-miR-1304-5p,0.01090745
hsa-miR-212-5p,0.010882152
hsa-miR-2110,0.010801153
hsa-let-7f-1-3p,0.01057023
hsa-miR-345-5p,0.010464607
hsa-miR-4746-5p,0.010093863
hsa-miR-1224-5p,0.009997202
hsa-miR-1343-3p,0.009576303
hsa-miR-17-5p,0.008804843
hsa-miR-93-3p,0.0077596577
hsa-miR-183-5p,0.0073053734
hsa-miR-532-3p,0.0071059833
hsa-miR-363-3p,0.006834234
hsa-miR-4326,0.006427838
hsa-miR-486-5p,0.006246701
hsa-miR-15b-3p,0.00619245
hsa-miR-4306,0.0061363406
hsa-miR-1307-5p,0.0059989044
hsa-miR-1306-5p,0.005916919
hsa-miR-3074-5p,0.0057844697
hsa-miR-21-3p,0.0056112027
hsa-miR-20a-5p,0.005409863
hsa-miR-3605-3p,0.005390782
hsa-miR-331-3p,0.005276318
hsa-miR-758-3p,0.0051568593
hsa-miR-22-5p,0.0048969546
hsa-miR-199b-3p,0.0047327606
hsa-miR-584-5p,0.0045769606
hsa-miR-181a-5p,0.004576945
hsa-miR-215-5p,0.004522013
hsa-miR-378a-3p,0.00447146
hsa-miR-941,0.0043771053
hsa-miR-484,0.00420149
hsa-miR-423-5p,0.0040962514
hsa-miR-432-5p,0.0040903646
hsa-let-7f-5p,0.003972818
hsa-miR-451a,0.0038376104
hsa-miR-889-3p,0.003835372
hsa-miR-1843,0.0037113477
hsa-miR-128-3p,0.0037017593
hsa-miR-151a-3p,0.0036644614
hsa-miR-210-3p,0.0036404137
hsa-miR-200c-3p,0.003537465
hsa-miR-4433b-3p,0.0035346763
hsa-miR-326,0.0033982918
hsa-miR-301a-3p,0.0033644158
hsa-miR-411-5p,0.0033337297
hsa-miR-18a-5p,0.0032929273
hsa-miR-3182,0.003270057
hsa-miR-130a-3p,0.003134219
hsa-miR-744-3p,0.003074515
hsa-miR-28-3p,0.0030472165
hsa-miR-320c,0.0030423482
hsa-let-7a-5p,0.003029548
hsa-miR-30d-5p,0.0030231886
hsa-miR-23a-3p,0.0030225283
hsa-miR-362-5p,0.0030145964
hsa-miR-125b-1-3p,0.0029954237
hsa-miR-589-5p,0.0029937867
hsa-miR-149-5p,0.0029838444
hsa-miR-3909,0.0029708885
hsa-miR-32-5p,0.0029501286
hsa-miR-10399-3p,0.0028945927
hsa-miR-29c-5p,0.0028648304
hsa-miR-342-5p,0.002814131
hsa-miR-10527-5p,0.0028087897
hsa-miR-550a-5p,0.0027927826
hsa-miR-628-3p,0.0026731507
hsa-miR-125a-5p,0.0026462832
hsa-miR-374a-5p,0.0026246305
hsa-miR-221-3p,0.0026092045
hsa-miR-200a-5p,0.0025163996
hsa-miR-628-5p,0.0024826655
hsa-miR-379-5p,0.0024740892
hsa-miR-19a-3p,0.0024522976
hsa-miR-130b-5p,0.0024104482
hsa-miR-127-3p,0.0024088277
hsa-miR-145-3p,0.0024001242
hsa-let-7b-3p,0.0023893984
hsa-miR-495-3p,0.0023688562
hsa-miR-483-5p,0.0023456723
hsa-miR-1246,0.0023084513
hsa-miR-184,0.002301078
hsa-miR-10a-5p,0.002279169
hsa-miR-494-3p,0.0022408979
hsa-miR-485-5p,0.002222921
hsa-miR-3613-5p,0.0021875543
hsa-miR-4732-5p,0.002184864
hsa-miR-338-5p,0.0021644034
hsa-miR-15b-5p,0.0021565913
hsa-miR-30b-5p,0.0021362521
hsa-miR-30e-3p,0.0020350048
hsa-miR-7977,0.0020331868
hsa-miR-1296-5p,0.0019953677
hsa-miR-203a-3p,0.0019950368
hsa-miR-874-3p,0.00199433
hsa-miR-33a-5p,0.0019682578
hsa-miR-26b-3p,0.001958815
hsa-miR-30c-2-3p,0.0019486974
hsa-miR-7-1-3p,0.001892388
hsa-miR-320e,0.0018718977
hsa-miR-4508,0.0018665944
hsa-miR-329-3p,0.0018555189
hsv2-miR-H10,0.0018237317
hsa-miR-101-3p,0.0018235826
hsa-miR-1-3p,0.0017579369
hsa-miR-450a-5p,0.0017204097
hsa-miR-33b-5p,0.0016984894
hsa-miR-140-3p,0.0016769314
hsa-miR-7704,0.0016523915
hsa-miR-550a-3-5p,0.0016293582
hsa-miR-195-3p,0.0016196888
hsa-miR-16-5p,0.0015751572
hsa-miR-30e-5p,0.0015736333
hsa-miR-185-3p,0.00156231
hsa-miR-199a-5p,0.0015286262
hsa-miR-10b-3p,0.0015230115
hsa-miR-15a-5p,0.0015110151
hsa-miR-10a-3p,0.0014750641
hsa-miR-27a-5p,0.0014699284
hsa-miR-548o-3p,0.0014678357
hsa-miR-92a-3p,0.0014492735
hsa-miR-324-5p,0.0014271801
hsa-miR-146a-5p,0.0014259453
hsa-miR-320b,0.0014227477
hsa-miR-206,0.0014024603
hsa-miR-23b-3p,0.0013936557
hsa-miR-155-5p,0.0013511977
hsa-miR-3613-3p,0.0012422214
hsa-miR-382-3p,0.0011714494
hsa-miR-142-3p,0.001123119
hsa-miR-3615,0.001119847
hsa-miR-500a-5p,0.0010376403
hsa-miR-181b-3p,0.0010147614
hsa-miR-4732-3p,0.0010127805
hsa-miR-98-3p,0.0010121617
hsa-let-7g-3p,0.0009522832
hsa-miR-212-3p,0.0009240271
hsa-miR-193a-5p,0.00091338425
hsa-miR-766-3p,0.0008808891
hsa-miR-454-3p,0.0008042899
hsa-miR-543,0.00062811055
hsa-miR-24-1-5p,0.00062409707
hsa-miR-664a-3p,0.0005971008
hsa-miR-9-5p,0.0005097597
hsa-miR-188-5p,0.0003336955
